จบจากโรงเรียน,Central,East,North,Northeast,South,western
พนมสารคาม(พนมอดุลวิทยา),0,1,0,0,0,0
พนมเบญจา,0,0,0,0,1,0
พนมไพรวิทยาคาร,0,0,0,1,0,0
พนัสพิทยาคาร,0,1,0,0,0,0
พนาศึกษา,0,0,0,1,0,0
พยัคฆภูมิวิทยาคาร,0,0,0,1,0,0
พยุหะพิทยาคม,1,0,0,0,0,0
พรตพิทยพยัต,1,0,0,0,0,0
พรรณาวุฒาจารย์,0,0,0,1,0,0
พรหมคีรีพิทยาคม,0,0,0,0,1,0
พรหมานุสรณ์จังหวัดเพชรบุรี,0,0,0,0,0,1
พระนารายณ์,1,0,0,0,0,0
พระบางวิทยา,1,0,0,0,0,0
พระปฐมวิทยาลัย,1,0,0,0,0,0
พระแท่นดงรังวิทยาคาร,0,0,0,0,0,1
พระแสงวิทยา,0,0,0,0,1,0
พระโขนงพิทยาลัย,1,0,0,0,0,0
พรานกระต่ายพิทยาคม,1,0,0,0,0,0
พร้าววิทยาคม,0,0,1,0,0,0
พลังราษฎร์พิทยาสรรพ์,0,0,0,1,0,0
พลับพลาชัยพิทยาคม,0,0,0,1,0,0
พะตงประธานคีรีวัฒน์,0,0,0,0,1,0
พะเยาพิทยาคม,0,0,1,0,0,0
พะโต๊ะวิทยา,0,0,0,0,1,0
พังโคนวิทยาคม,0,0,0,1,0,0
พัฒนานิคม,1,0,0,0,0,0
พัทลุง,0,0,0,0,1,0
พานทอง,0,1,0,0,0,0
พานพิทยาคม,0,0,1,0,0,0
พานพิเศษพิทยา,0,0,1,0,0,0
พิจิตรพิทยาคม,1,0,0,0,0,0
พิชัย,0,0,1,0,0,0
พิชัยรัตนาคาร,0,0,0,0,1,0
พิบูลวิทยาลัย,1,0,0,0,0,0
พิมานพิทยาสรรค์,0,0,0,0,1,0
พิมายวิทยา,0,0,0,1,0,0
พิริยาลัยจังหวัดแพร่,0,0,1,0,0,0
พิษณุโลกพิทยาคม,1,0,0,0,0,0
พุขามครุฑมณีอุทิศ,1,0,0,0,0,0
พุทธชินราชพิทยา,1,0,0,0,0,0
พุทธิรังสีพิบูล,0,1,0,0,0,0
พุทไธสง,0,0,0,1,0,0
พุนพินพิทยาคม,0,0,0,0,1,0
พูลเจริญวิทยาคม,1,0,0,0,0,0
ฟากท่าวิทยา,0,0,1,0,0,0
ภ.ป.ร.ราชวิทยาลัยในพระบรมราชูปถัมภ์,1,0,0,0,0,0
ภัทรญาณวิทยา,1,0,0,0,0,0
ภัทรบพิตร,0,0,0,1,0,0
