จบจากโรงเรียน,No_computer,working,not_working,no_boy,no_girl,total_student,no_classroom,total_teacher,total_teacher_rank1,total_teacher_rank2,total_teacher_rank3,total_teacher_rank4,total_teacher_rank5
บ้านท่ามะปรางวิทยา,36,36,0,219,243,462,21,20,9,7,4,0,0
หินกองวิทยาคม,113,105,8,211,197,408,15,18,9,5,4,0,0
มวกเหล็กวิทยา,170,170,0,707,826,1533,45,79,39,21,19,0,0
ซับน้อยเหนือวิทยาคม,88,88,0,207,214,421,15,24,18,3,3,0,0
วังม่วงวิทยาคม,76,64,12,206,229,435,18,20,11,4,5,0,0
ปาโมกข์วิทยาภูมิ,80,55,25,306,290,596,18,26,10,10,6,0,0
แสวงหาวิทยาคม,72,72,0,228,250,478,17,22,6,6,10,0,0
วิเศษไชยชาญ(ตันติวิทยาภูมิ),229,229,20,664,730,1394,41,51,25,9,17,0,0
อ่างทองปัทมโรจน์วิทยาคม,270,270,0,1224,1637,2861,75,85,34,38,13,0,0
ราชสถิตย์วิทยา,39,27,12,109,131,240,15,15,13,1,1,0,0
บางเสด็จวิทยาคม,43,38,15,98,146,244,11,8,3,1,4,0,0
โพธิ์ทองพิทยาคม,94,77,17,40,33,73,7,13,6,3,4,0,0
วิเศษชัยชาญวิทยาคม,38,21,8,78,52,130,6,7,5,0,2,0,0
ไผ่วงวิทยา,35,21,4,36,32,68,6,7,6,1,0,0,0
สตรีอ่างทอง,899,842,57,1158,1928,3086,80,129,48,28,53,0,0
โยธินบูรณะอ่างทอง,34,28,6,68,42,110,6,8,8,0,0,0,0
โพธิ์ทอง(จินดามณี),139,115,24,498,544,1042,29,33,11,10,12,0,0
ริ้วหว้าวิทยาคม,76,50,26,91,73,164,12,4,1,0,3,0,0
สามโก้วิทยาคม,105,85,20,273,290,563,18,28,12,6,10,0,0
โคกสำโรงวิทยา,126,99,27,713,1003,1716,47,50,15,16,19,0,0
พิบูลวิทยาลัย,730,730,0,1112,1877,2989,78,124,29,39,55,1,0
โคกกะเทียมวิทยาลัย,103,84,19,258,253,511,20,26,5,7,14,0,0
วิทยาศาสตร์จุฬาภรณราชวิทยาลัยลพบุรี,110,110,0,253,469,722,30,45,10,23,12,0,0
ดงตาลวิทยา,87,87,21,257,223,480,18,19,8,6,5,0,0
พระนารายณ์,293,293,0,1228,1439,2667,70,89,16,30,43,0,0
บ้านข่อยวิทยา,15,14,1,41,15,56,6,8,2,3,3,0,0
โคกตูมวิทยา,75,75,0,237,226,463,14,19,9,4,6,0,0
ท่าวุ้งวิทยาคาร,110,106,0,257,270,527,19,22,7,7,8,0,0
บ้านเบิกวิทยาคม,33,23,0,103,101,204,8,11,3,1,7,0,0
บ้านหมี่วิทยา,305,255,50,665,858,1523,44,65,26,19,20,0,0
ปิยะบุตร์,96,76,20,143,164,307,18,14,1,6,7,0,0
บ้านชีวิทยา,55,44,11,124,118,242,11,12,3,6,3,0,0
พัฒนานิคม,160,160,0,601,849,1450,44,50,15,9,26,0,0
ชัยบาดาลวิทยา,235,175,10,993,1642,2635,68,78,33,16,29,0,0
โคกสลุงวิทยา,25,9,0,200,173,373,15,17,10,2,5,0,0
ชัยบาดาลพิทยาคม,179,142,37,333,398,731,27,31,14,10,7,0,0
ขุนรามวิทยา,58,50,11,68,82,150,6,7,4,2,1,0,0
เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ลพบุรีในพระราชูปถัมภ์สมเด็จพระเทพรัตนราชสุดาฯสยามบรมราชกุมารี,70,70,0,106,98,204,12,17,14,2,1,0,0
ท่าหลวงวิทยาคม,78,50,28,292,337,629,19,26,14,5,7,0,0
สระโบสถ์วิทยาคาร,58,48,10,167,193,360,16,21,13,4,4,0,0
โคกเจริญวิทยา,45,45,0,293,305,598,17,21,14,5,2,0,0
ยางรากวิทยา,54,31,22,87,105,192,10,5,5,0,0,0,0
ลำสนธิวิทยา,59,51,8,235,313,548,20,23,15,7,1,0,0
หนองม่วงวิทยา,137,123,14,446,517,963,27,39,24,8,7,0,0
ท่าช้างวิทยาคาร,50,47,3,177,239,416,15,15,11,1,3,0,0
