จบจากโรงเรียน,No_computer,working,not_working,no_boy,no_girl,total_student,no_classroom,total_teacher,total_teacher_rank1,total_teacher_rank2,total_teacher_rank3,total_teacher_rank4,total_teacher_rank5
สวายวิทยาคาร,105,93,12,294,301,595,21,28,6,6,16,0,0
นาดีวิทยา,47,47,0,236,276,512,21,28,10,4,14,0,0
ศรีไผทสมันต์,62,53,9,162,71,233,15,14,2,4,8,0,0
รามวิทยารัชมังคลาภิเษก,124,83,14,499,633,1132,39,48,11,11,26,0,0
สุรินทร์ภักดี,41,41,0,105,48,153,7,10,3,2,5,0,0
พญารามวิทยา,52,15,37,120,119,239,12,14,3,4,7,0,0
สุรินทร์ราชมงคล,11,6,5,220,23,243,12,20,4,6,10,0,0
โชคเพชรพิทยา,41,19,22,124,105,229,9,14,3,1,10,0,0
สุรินทร์พิทยาคม,19,17,2,97,112,209,12,13,3,5,5,0,0
วีรวัฒน์โยธิน,249,249,0,1048,1161,2209,63,84,19,17,48,0,0
มหิธรวิทยา,30,30,0,32,9,41,6,9,3,4,2,0,0
นาบัววิทยา,16,9,4,90,83,173,9,15,4,2,9,0,0
ศรีรามประชาสรรค์,26,21,5,71,73,144,7,8,5,1,2,0,0
ตั้งใจวิทยาคม,24,24,0,103,78,181,6,10,5,3,2,0,0
ท่าสว่างวิทยา,47,32,15,68,81,149,10,12,1,4,7,0,0
แสงทรัพย์ประชาวิทยาคาร,14,14,0,29,24,53,6,9,6,2,1,0,0
เทนมีย์มิตรประชา,53,37,16,135,115,250,9,18,0,4,14,0,0
จอมพระประชาสรรค์,245,245,0,763,1114,1877,60,89,19,25,45,0,0
เมืองลีงวิทยา,30,25,5,129,149,278,12,18,6,5,7,0,0
บุแกรงวิทยาคม,122,69,53,161,148,309,14,24,6,4,14,0,0
หนองสนิทวิทยา,53,35,18,123,103,226,12,12,4,3,5,0,0
ศีขรภูมิพิสัย,132,111,1,863,1437,2300,68,94,22,24,48,0,0
แตลศิริวิทยา,105,82,17,208,247,455,16,24,2,5,17,0,0
ห้วยจริงวิทยา,89,37,52,254,301,555,21,22,13,5,4,0,0
กุดไผทประชาสรรค์,30,30,0,105,97,202,9,11,2,2,7,0,0
จารย์วิทยาคาร,66,40,26,111,91,202,12,13,6,6,1,0,0
มัธยมจารพัตวิทยา,24,19,5,55,67,122,6,11,8,3,0,0,0
หนองแวงวิทยาคม,65,45,20,224,297,521,17,20,12,4,4,0,0
ขวาวใหญ่วิทยา,34,22,12,47,48,95,6,9,5,1,3,0,0
วังข่าพัฒนา,49,34,15,81,87,168,7,10,7,3,0,0,0
ยางวิทยาคาร,50,10,35,110,127,237,10,16,8,3,5,0,0
สุรพินท์พิทยา,345,290,25,708,775,1483,42,69,33,22,14,0,0
พนาสนวิทยา,340,223,0,202,239,441,22,27,7,8,12,0,0
ศรีสุขวิทยา,31,31,0,143,117,260,16,20,8,4,8,0,0
สำโรงทาบวิทยาคม,112,102,10,567,800,1367,44,56,19,17,20,0,0
สินรินทร์วิทยา,20,100,0,319,368,687,24,26,6,5,15,0,0
แร่วิทยา,12,12,0,32,35,67,6,12,5,3,4,0,0
บึงนครประชาสรรค์,12,7,5,29,15,44,6,9,6,2,1,0,0
ชุมพลวิทยาสรรค์,130,123,7,508,706,1214,36,51,13,15,23,0,0
เมืองบัววิทยา,40,15,25,225,221,446,19,23,7,9,7,0,0
ลำพลับพลาวิทยาคาร,28,8,20,80,63,143,12,11,4,2,5,0,0
ท่าตูมประชาเสริมวิทย์,257,158,99,727,1154,1881,52,84,20,16,48,0,0
ลานทรายพิทยาคม,54,45,9,132,227,359,24,20,6,0,14,0,0
เมืองแกพิทยาสรรค์,25,18,7,77,92,169,6,13,4,1,8,0,0
พรมเทพพิทยาคม,23,23,0,119,69,188,9,13,1,1,11,0,0
ช้างบุญวิทยา,51,38,13,113,92,205,10,11,5,1,5,0,0
ทุ่งกุลาพิทยาคม,17,17,0,46,46,92,6,10,4,3,3,0,0
โนนแท่นพิทยาคม,19,15,4,61,53,114,6,10,9,1,0,0,0
ศรีปทุมพิทยาคม,20,20,0,82,61,143,6,13,0,6,7,0,0
รัตนบุรี,426,406,20,904,1196,2100,65,93,22,21,50,0,0
ดอนแรดวิทยา,76,44,31,122,129,251,12,14,1,1,12,0,0
เบิดพิทยาสรรค์,61,35,23,259,282,541,22,28,4,4,20,0,0
ธาตุศรีนคร,33,30,3,156,154,310,11,17,3,0,14,0,0
แกศึกษาพัฒนา,39,16,23,134,107,241,11,12,3,4,5,0,0
ทับโพธิ์พัฒนวิทย์,43,26,10,81,68,149,8,10,3,1,6,0,0
หนองอียอวิทยา,19,15,0,78,62,140,6,11,7,1,3,0,0
หนองขุนศรีวิทยา,48,48,0,117,118,235,11,12,8,2,2,0,0
สนมวิทยาคาร,160,160,0,439,551,990,33,43,12,11,20,0,0
นารายณ์คำผงวิทยา,74,30,44,233,306,539,18,30,9,9,12,0,0
โนนเทพ,32,26,6,101,131,232,12,14,3,3,8,0,0
ประดู่แก้วประชาสรรค์,26,15,11,75,103,178,7,11,5,5,1,0,0
ประสาทวิทยาคาร,410,410,0,1107,1923,3030,81,121,31,22,68,0,0
โคกยางวิทยา,12,10,2,186,178,364,12,19,7,3,9,0,0
ตานีวิทยา,139,139,0,235,301,536,20,24,13,4,7,0,0
ไทรแก้ววิทยา,65,29,36,124,151,275,13,16,5,6,5,0,0
ทุ่งมนวิทยาคาร,61,61,1,130,195,325,11,19,12,3,4,0,0
เชื้อเพลิงวิทยา,58,48,10,165,160,325,16,16,4,3,9,0,0
ตาเบาวิทยา,47,34,13,97,82,179,10,12,5,2,5,0,0
กาบเชิงวิทยา,60,45,15,292,529,821,25,40,6,16,18,0,0
แนงมุดวิทยา,112,96,16,285,340,625,20,22,13,7,2,0,0
โคกตะเคียนวิทยา,85,60,25,229,275,504,19,24,18,3,3,0,0
ปราสาทเบงวิทยา,25,22,3,127,151,278,15,18,14,1,3,0,0
สังขะ,198,145,43,641,1252,1893,58,90,24,26,40,0,0
กระเทียมวิทยา,184,186,0,473,506,979,29,36,7,13,16,0,0
ตาคงวิทยารัชมังคลาภิเษก,39,29,20,185,184,369,19,14,7,2,5,0,0
ขนาดมอญพิทยาคม,95,75,5,347,458,805,28,31,15,4,12,0,0
มัธยมทับทิมสยาม04ในพระอุปถัมภ์,41,14,27,115,114,229,11,19,15,4,0,0,0
พระแก้ววิทยา,25,5,20,101,133,234,12,10,3,2,5,0,0
เทพอุดมวิทยา,35,35,0,123,160,283,12,17,8,1,8,0,0
บัวเชดวิทยา,92,75,17,795,1053,1848,59,80,43,7,30,0,0
มัธยมศรีลำเภาลูน,55,29,6,91,102,193,9,10,7,2,1,0,0
พนมดงรักวิทยา,104,104,0,526,518,1044,35,34,25,5,4,0,0
ศรีณรงค์พิทยาลัย,39,39,0,171,230,401,17,20,17,3,0,0,0
ยุพราชวิทยาลัย,705,700,5,1626,2058,3684,90,170,34,61,74,0,1
วัฒโนทัยพายัพ,50,50,0,1031,1837,2868,69,139,48,56,35,0,0
หอพระ,192,192,0,254,306,560,25,34,6,11,17,0,0
กาวิละวิทยาลัย,155,155,0,459,624,1083,40,53,10,23,20,0,0
ดอยสะเก็ดวิทยาคม,192,161,31,257,379,636,21,27,15,8,3,1,0
สันกำแพง,425,374,50,1115,1345,2460,66,99,30,37,32,0,0
แม่ออนวิทยาลัย,86,70,16,161,147,308,18,21,1,9,11,0,0
แม่แตง,279,279,15,341,443,784,24,31,10,12,9,0,0
แม่หอพระวิทยาคม,57,53,4,103,97,200,12,10,1,4,5,0,0
สันป่ายางวิทยาคม,48,33,13,91,91,182,11,8,4,4,0,0,0
แม่ริมวิทยาคม,252,252,0,782,787,1569,48,58,21,24,13,0,0
นวมินทราชูทิศพายัพ,225,225,0,833,930,1763,48,83,14,20,49,0,0
สะเมิงพิทยาคม,88,88,0,276,313,589,20,27,13,10,3,0,1
พร้าววิทยาคม,236,215,21,534,762,1296,39,57,14,23,19,1,0
สันทรายวิทยาคม,208,154,4,618,887,1505,43,65,9,20,36,0,0
เชียงดาววิทยาคม,120,120,0,490,592,1082,33,38,10,18,10,0,0
อรุโณทัยวิทยาคม,54,45,9,400,574,974,29,35,29,6,0,0,0
ฝางชนูปถัมภ์,200,175,25,629,1053,1682,46,64,22,27,15,0,0
เวียงแหงวิทยาคม,173,96,57,357,481,838,25,29,12,13,4,0,0
ไชยปราการ,122,120,7,195,313,508,19,30,2,13,14,1,0
สันป่าตองวิทยาคม,106,106,0,1004,1372,2376,64,109,15,38,55,0,1
เทพศิรินทร์เชียงใหม่,76,76,0,342,173,515,23,21,4,11,6,0,0
หางดงรัฐราษฎร์อุปถัมภ์,197,197,0,581,603,1184,40,57,10,10,37,0,0
สารภีพิทยาคม,215,154,61,387,477,864,31,36,12,15,9,0,0
บ้านกาดวิทยาคม,180,160,20,307,347,654,20,33,11,11,11,0,0
สองแคววิทยาคม,152,40,97,215,343,558,20,17,8,3,6,0,0
สันติสุข,53,41,12,131,164,295,15,18,5,8,5,0,0
จอมทอง,425,405,20,883,1194,2077,65,94,36,38,20,0,0
แม่แจ่ม,160,140,20,562,721,1283,35,55,27,22,6,0,0
ฮอดพิทยาคม,148,74,74,419,654,1073,33,45,14,20,11,0,0
ดอยเต่าวิทยาคม,126,114,11,338,475,813,32,36,15,9,12,0,0
อมก๋อยวิทยาคม,124,96,28,324,761,1085,33,38,22,14,2,0,0
แม่ตื่นวิทยาคม,44,39,5,217,411,628,22,19,16,3,0,0,0
มัธยมกัลยาณิวัฒนาเฉลิมพระเกียรติ,79,69,9,84,148,232,10,10,9,0,1,0,0
ห้องสอนศึกษาในพระอุปถัมภ์ฯ,180,153,27,662,900,1562,45,58,25,17,16,0,0
ขุนยวมวิทยา,158,123,35,488,594,1082,32,41,16,17,8,0,0
ปายวิทยาคาร,156,142,19,528,593,1121,31,36,22,9,5,0,0
ปางมะผ้าพิทยาสรรพ์,58,34,25,134,188,322,15,9,8,1,0,0,0
แม่สะเรียง(บริพัตรศึกษา),152,152,0,655,1072,1727,50,70,28,20,22,0,0
สบเมยวิทยาคม,124,113,11,250,453,703,21,24,13,4,7,0,0
เฉลิมรัชวิทยาคม,28,20,8,130,167,297,15,9,7,2,0,0,0
แม่ลาน้อยดรุณสิกข์,190,114,71,327,513,840,30,33,17,15,1,0,0
บ้านแป้นพิทยาคม,75,75,0,167,130,297,12,18,2,5,10,1,0
จักรคำคณาทรจังหวัดลำพูน,471,390,0,1312,1803,3115,84,145,35,58,51,1,0
แม่ทาวิทยาคม,0,26,25,159,158,317,18,25,6,6,13,0,0
ป่าซาง,223,221,23,224,239,463,15,24,1,11,12,0,0
ป่าตาลบ้านธิพิทยา,149,59,90,133,163,296,14,16,0,5,11,0,0
ส่วนบุญโญปถัมภ์ลำพูน,660,629,31,1211,2012,3223,88,135,25,55,54,1,0
ทาขุมเงินวิทยาคาร,99,27,72,136,163,299,13,20,2,8,10,0,0
อุโมงค์วิทยาคม,90,60,30,85,86,171,12,15,3,5,7,0,0
น้ำดิบวิทยาคม,80,80,0,170,176,346,14,18,6,3,9,0,0
วชิรป่าซาง,214,153,61,227,168,395,15,21,1,6,14,0,0
ธีรกานท์บ้านโฮ่ง,359,359,0,459,452,911,31,50,10,18,22,0,0
บ้านโฮ่งรัตนวิทยา,31,31,3,48,78,126,6,10,3,3,4,0,0
ทุ่งหัวช้างพิทยาคม,65,54,11,176,239,415,18,19,9,9,1,0,0
แม่ตืนวิทยา,93,79,14,141,148,289,12,19,11,7,1,0,0
เวียงเจดีย์วิทยา,247,140,78,660,902,1562,46,69,27,23,19,0,0
กิ่วลมวิทยา,91,91,0,63,62,125,7,9,1,3,5,0,0
โป่งหลวงวิทยารัชมังคลาภิเษก,23,12,11,65,79,144,9,12,3,7,2,0,0
เมืองมายวิทยา,49,49,0,61,46,107,9,12,4,3,5,0,0
บุญวาทย์วิทยาลัย,822,822,0,1757,2278,4035,98,186,23,85,78,0,0
แม่เมาะวิทยา,175,169,6,336,499,835,29,37,14,19,4,0,0
ลำปางกัลยาณี,738,738,0,898,2379,3277,79,143,38,40,65,0,0
สบจางวิทยา,102,71,10,54,75,129,7,11,7,3,1,0,0
เตรียมอุดมศึกษาพัฒนาการเขลางค์นคร,278,278,0,476,486,962,44,53,6,26,21,0,0
เสด็จวนชยางค์กูลวิทยา,193,193,0,178,249,427,18,24,5,5,14,0,0
ประชาราชวิทยา,36,36,0,97,111,208,9,12,0,8,4,0,0
ประชารัฐธรรมคุณ,234,235,0,385,452,837,32,42,7,13,22,0,0
ห้างฉัตรวิทยา,123,123,0,214,224,438,15,24,1,4,19,0,0
แม่สันวิทยา,21,20,0,100,98,198,12,14,1,1,11,0,1
เวียงตาลพิทยาคม,31,31,10,43,36,79,6,12,2,4,6,0,0
แม่ทะวิทยา,88,68,20,106,113,219,14,17,3,6,8,0,0
สบปราบพิทยาคม,167,167,0,404,412,816,28,43,9,16,18,0,0
เกาะคาวิทยาคม,86,81,5,56,75,131,7,8,3,2,3,0,0
เสริมงามวิทยาคม,173,132,41,438,479,917,30,53,7,21,25,0,0
แม่พริกวิทยา,47,40,7,118,132,250,15,15,0,7,8,0,0
แม่ทะประชาสามัคคี,14,14,0,39,52,91,11,12,0,5,7,0,0
ไหล่หินวิทยา,27,23,4,57,63,120,9,9,1,3,5,0,0
เวียงมอกวิทยา,98,68,0,168,202,370,13,16,8,3,5,0,0
แม่ทะพัฒนศึกษา,89,73,18,82,92,174,12,14,1,6,7,0,0
เถินวิทยา,260,260,0,534,691,1225,39,55,19,25,11,0,0
เมืองปานวิทยา,124,103,20,135,120,255,12,12,1,8,3,0,0
วังเหนือวิทยา,255,245,10,518,679,1197,35,57,14,36,7,0,0
ทุ่งกว๋าววิทยาคม,87,70,7,104,85,189,12,20,0,6,12,2,0
เมืองปานพัฒนวิทย์,47,45,2,104,100,204,10,12,6,5,1,0,0
ทุ่งอุดมวิทยา,33,31,2,76,87,163,6,10,5,3,2,0,0
แจ้ห่มวิทยา,170,170,0,483,616,1099,38,51,7,25,18,1,0
พะเยาพิทยาคม,533,485,45,1421,1985,3406,90,168,44,65,58,0,1
ฟากกว๊านวิทยาคม,142,132,10,286,276,562,24,44,0,13,31,0,0
พะเยาประสาธน์วิทย์,159,118,41,85,120,205,11,17,3,12,2,0,0
ดอกคำใต้วิทยาคม,,,,85,120,205,11,17,3,12,2,0,0
ถ้ำปินวิทยาคม,109,90,19,178,224,402,18,32,3,17,12,0,0
งำเมืองวิทยาคม,76,76,76,133,186,319,12,23,0,14,9,0,0
แม่ใจวิทยาคม,481,431,50,400,397,797,30,46,3,18,25,0,0
ดงเจนวิทยาคม,95,93,2,271,320,591,20,29,1,16,12,0,0
เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์พะเยาในพระราชูปถัมภ์สมเด็จพระเทพรัตนราชสุดาฯสยามบรมราชกุมารี,128,97,31,183,121,304,24,44,10,29,5,0,0
จุนวิทยาคม,187,120,67,391,570,961,31,50,3,26,21,0,0
พญาลอวิทยาคม,95,80,15,167,151,318,18,20,2,11,7,0,0
เชียงคำวิทยาคม,488,361,127,1099,1605,2704,68,129,34,51,43,0,1
ฝายกวางวิทยาคม,252,245,7,202,348,550,18,40,1,13,26,0,0
เชียงม่วนวิทยาคม,140,55,45,228,291,519,18,26,5,15,6,0,0
ปงรัชดาภิเษก,149,132,17,270,347,617,24,33,8,11,14,0,0
ปงพัฒนาวิทยาคม,136,120,16,206,326,532,19,34,5,17,12,0,0
ขุนควรวิทยาคม,,,,206,326,532,19,34,5,17,12,0,0
ภูซางวิทยาคม,158,156,2,336,378,714,26,41,1,22,18,0,0
สามัคคีวิทยาคม,925,910,15,1286,1761,3047,87,156,22,65,69,0,0
ดำรงราษฎร์สงเคราะห์,475,475,0,842,1812,2654,72,143,17,75,50,1,0
เม็งรายมหาราชวิทยาคม,220,213,7,435,452,887,32,47,2,20,25,0,0
ห้วยสักวิทยาคม,101,101,0,282,252,534,22,26,2,11,13,0,0
เตรียมอุดมศึกษาพัฒนาการเชียงราย,69,69,0,196,170,366,21,26,2,12,12,0,0
ดอนชัยวิทยาคม,40,40,0,131,146,277,13,18,2,9,7,0,0
วิทยาศาสตร์จุฬาภรณราชวิทยาลัยเชียงราย,290,290,0,270,445,715,30,59,5,33,21,0,0
สามัคคีวิทยาคม2,41,27,14,181,75,256,9,17,3,6,8,0,0
ดอนศิลาผางามวิทยาคม,20,22,12,101,133,234,12,14,5,5,4,0,0
เวียงชัยวิทยาคม,111,111,0,81,57,138,6,11,2,5,4,0,0
เวียงเชียงรุ้งวิทยาคม,143,140,14,214,272,486,15,26,9,8,9,0,0
พานพิทยาคม,250,200,50,716,1001,1717,52,83,9,41,33,0,0
พานพิเศษพิทยา,143,105,38,140,120,260,14,24,1,10,13,0,0
นครวิทยาคม,78,23,55,89,87,176,15,18,8,5,5,0,0
แม่อ้อวิทยาคม,34,20,14,87,55,142,6,12,3,7,2,0,0
ดอยงามวิทยาคม,31,20,11,57,43,100,9,8,3,3,2,0,0
ป่าแดดวิทยาคม,128,128,0,216,256,472,18,25,3,15,7,0,0
แม่สรวยวิทยาคม,99,69,30,234,378,612,20,30,7,20,3,0,0
วาวีวิทยาคม,86,76,10,288,399,687,24,18,17,0,1,0,0
เวียงป่าเป้าวิทยาคม,163,163,0,455,642,1097,36,53,14,24,15,0,0
แม่เจดีย์วิทยาคม,83,73,10,285,384,669,23,35,7,16,12,0,0
แม่ลาววิทยาคม,60,60,0,276,310,586,20,29,4,15,10,0,0
จันจว้าวิทยาคม,84,84,0,108,135,243,12,15,2,9,4,0,0
แม่จันวิทยาคม,,,,108,135,243,12,15,2,9,4,0,0
เชียงแสนวิทยาคม,124,119,4,481,574,1055,51,38,14,12,12,0,0
บ้านแซววิทยาคม,71,46,25,137,163,300,12,16,7,8,1,0,0
แม่สายประสิทธิ์ศาสตร์,422,419,3,1252,1632,2884,81,108,41,51,16,0,0
วัดถ้ำปลาวิทยาคม,11,33,6,133,161,294,11,17,4,9,4,0,0
สันติคีรีวิทยาคม,45,35,10,404,504,908,29,32,22,10,0,0,0
ดอยหลวงรัชมังคลาภิเษก,48,27,21,171,211,382,18,16,4,10,2,0,0
เชียงของวิทยาคม,150,150,0,484,598,1082,30,51,9,17,24,1,0
บุญเรืองวิทยาคม,47,40,7,96,93,189,12,7,1,4,2,0,0
ห้วยซ้อวิทยาคมรัชมังคลาภิเษก,88,62,21,216,237,453,21,22,5,11,6,0,0
เทิงวิทยาคม,,,,216,237,453,21,22,5,11,6,0,0
ปล้องวิทยาคม,131,113,18,243,289,532,19,32,3,18,11,0,0
พญาเม็งราย,111,88,23,282,263,545,18,30,3,16,10,1,0
แม่ต๋ำตาดควันวิทยาคม,57,38,19,134,151,285,12,14,6,6,2,0,0
ไม้ยาวิทยาคม,78,47,28,125,114,239,12,13,4,8,1,0,0
เวียงแก่นวิทยาคม,145,110,35,311,432,743,27,26,10,12,4,0,0
ขุนตาลวิทยาคม,63,31,32,96,158,254,15,20,1,2,16,0,1
ยางฮอมวิทยาคม,26,25,1,60,61,121,9,12,1,4,7,0,0
นารีรัตน์จังหวัดแพร่,767,767,0,463,2418,2881,72,138,40,42,56,0,0
พิริยาลัยจังหวัดแพร่,478,478,0,1902,1126,3028,72,138,29,39,69,1,0
เมืองแพร่,26,34,10,140,119,259,12,10,6,3,1,0,0
ถิ่นโอภาสวิทยา,83,44,31,142,136,278,14,18,1,5,11,1,0
ท่าข้ามวิทยาคม,32,27,5,260,8,268,11,14,3,3,8,0,0
ห้วยม้าวิทยาคม,53,48,5,67,73,140,6,14,1,6,7,0,0
ร้องกวางอนุสรณ์,374,374,0,447,515,962,33,46,4,16,26,0,0
สองพิทยาคม,165,156,9,424,505,929,32,39,7,19,13,0,0
เวียงเทพวิทยา,31,30,1,76,64,140,6,11,2,2,7,0,0
ม่วงไข่พิทยาคม,118,75,43,231,213,444,17,25,2,3,20,0,0
ลองวิทยา,233,233,0,525,703,1228,39,58,11,30,17,0,0
สูงเม่นชนูปถัมภ์,226,218,8,415,468,883,29,39,1,17,21,0,0
บ้านกาศประชานุเคราะห์,25,20,0,79,54,133,12,11,2,2,7,0,0
วิไลเกียรติอุปถัมภ์,82,65,17,306,362,668,24,32,6,6,20,0,0
วังชิ้นวิทยา,160,41,109,336,448,784,24,34,13,14,7,0,0
สรอยเสรีวิทยา,63,53,10,170,172,342,18,17,4,6,7,0,0
ศรีสวัสดิ์วิทยาคาร,400,396,0,965,1188,2153,60,100,19,45,35,0,1
สตรีศรีน่าน,170,170,0,999,1703,2702,68,124,33,45,46,0,0
บ่อสวกวิทยาคาร,26,26,0,74,103,177,11,12,2,5,5,0,0
น่านประชาอุทิศ,34,34,0,46,82,128,6,6,0,4,2,0,0
แม่จริม,84,84,0,158,171,329,12,16,2,5,9,0,0
บ้านหลวง,31,31,0,173,220,393,17,18,5,9,4,0,0
นาน้อย,82,70,12,431,496,927,29,45,11,16,18,0,0
สา,145,139,6,590,720,1310,38,60,2,17,41,0,0
สาธุกิจประชาสรรค์รัชมังคลาภิเษก,25,20,5,73,59,132,9,11,1,6,4,0,0
สารทิศพิทยาคม,34,34,0,56,65,121,11,10,3,5,2,0,0
นาหมื่นพิทยาคม,78,78,0,153,185,338,12,18,3,9,6,0,0
เมืองลีประชาสามัคคี,33,27,6,59,73,132,7,4,2,1,1,0,0
สันติสุขพิทยาคม,50,28,22,218,229,447,16,26,2,19,5,0,0
น่านนคร,104,74,30,102,94,196,10,17,0,3,14,0,0
ศรีนครน่าน,30,30,0,37,38,75,6,12,0,5,7,0,0
นันทบุรีวิทยาในพระบรมราชานุเคราะห์,150,118,32,239,267,506,23,54,22,30,2,0,0
ปัว,200,182,18,783,1167,1950,51,94,11,21,61,1,0
ศรัทธาศิลาเพชรรังสรรค์,63,40,13,62,66,128,9,18,0,7,11,0,0
เมืองแงง,41,29,12,37,27,64,6,11,1,5,5,0,0
มัธยมป่ากลาง,77,77,0,179,242,421,18,26,4,11,10,1,0
ท่าวังผาพิทยาคม,168,162,6,634,746,1380,41,68,6,18,44,0,0
สารธรรมวิทยาคาร,40,33,7,86,84,170,10,13,2,2,9,0,0
หนองบัวพิทยาคม,24,12,12,23,42,65,9,13,1,4,7,0,1
เมืองยมวิทยาคาร,32,30,2,62,82,144,11,12,0,3,9,0,0
ทุ่งช้าง,47,30,17,194,220,414,13,22,3,13,6,0,0
เชียงกลางประชาพัฒนา,75,56,15,309,412,721,20,41,1,16,23,1,0
พระธาตุพิทยาคม,57,38,19,44,77,121,9,11,2,5,4,0,0
บ่อเกลือ,95,56,39,194,330,524,16,20,10,6,4,0,0
ไตรเขตประชาสามัคคีรัชมังคลาภิเษก,95,75,20,93,116,209,12,12,1,7,4,0,0
มัธยมพระราชทานเฉลิมพระเกียรติ,90,50,30,136,184,320,15,14,9,5,0,0,0
ตากพิทยาคม,221,206,19,1071,1573,2644,67,112,30,50,32,0,0
ผดุงปัญญา,149,142,7,663,980,1643,46,61,17,29,15,0,0
วังหินกิตติวิทยาคม,40,40,0,38,37,75,6,9,2,6,1,0,0
ถนอมราษฏร์บำรุง,52,52,0,195,91,286,12,8,5,2,1,0,0
วังประจบวิทยาคม,98,93,5,128,119,247,12,14,7,6,1,0,0
บ้านตาก(ประชาวิทยาคาร),69,40,24,337,396,733,25,38,5,21,12,0,0
ทุ่งฟ้าวิทยาคม,54,32,22,107,114,221,10,11,2,6,3,0,0
สามเงาวิทยาคม,78,78,0,259,280,539,15,25,7,7,11,0,0
ยกกระบัตรวิทยาคม,41,24,17,91,94,185,12,12,4,4,4,0,0
นาโบสถ์พิทยาคม,61,41,0,155,212,367,18,22,5,8,9,0,0
วังเจ้าวิทยาคม,47,47,0,93,72,165,6,7,5,1,1,0,0
แม่ระมาดวิทยาคม,107,80,27,271,435,706,20,29,10,10,9,0,0
แม่จะเราวิทยาคม,70,45,25,212,261,473,18,24,4,12,7,0,1
ท่าสองยางวิทยาคม,90,38,52,288,427,715,21,22,7,13,2,0,0
สรรพวิทยาคม,179,113,26,1115,1687,2802,78,136,51,42,43,0,0
แม่ปะวิทยาคม,108,110,0,128,173,301,10,22,8,9,5,0,0
ด่านแม่ละเมาวิทยาคม,46,37,8,109,144,253,11,11,5,5,1,0,0
แม่กุวิทยาคม,93,72,21,270,383,653,18,27,5,4,18,0,0
พบพระวิทยาคม,137,121,16,407,609,1016,32,38,17,12,9,0,0
อุ้มผางวิทยาคม,205,140,45,546,874,1420,42,50,39,7,4,0,0
โมโกรวิทยาคม,,,,546,874,1420,42,50,39,7,4,0,0
สุโขทัยวิทยาคม,270,270,0,1514,973,2487,76,115,22,29,63,1,0
บ้านด่านลานหอยวิทยา,142,105,37,536,612,1148,34,47,12,5,30,0,0
คีรีมาศพิทยาคม,183,80,104,469,587,1056,34,49,5,22,22,0,0
กงไกรลาศวิทยา,81,77,4,464,486,950,30,42,6,19,16,0,1
ตลิ่งชันวิทยานุสรณ์,31,28,3,40,43,83,6,8,6,0,2,0,0
หนองตูมวิทยา,50,29,21,121,100,221,12,13,3,6,4,0,0
บ้านสวนวิทยาคม,34,25,9,152,125,277,12,12,3,4,5,0,0
ไกรในวิทยาคมรัชมังคลาภิเษก,103,63,0,197,210,407,16,18,2,4,12,0,0
ยางซ้ายพิทยาคม,49,49,0,55,39,94,6,7,0,3,4,0,0
ลิไทพิทยาคม,108,76,22,175,150,325,12,13,5,6,2,0,0
อุดมดรุณี,291,291,0,197,1878,2075,53,91,33,26,32,0,0
บ้านใหม่เจริญผลพิทยาคม,44,34,10,128,162,290,12,12,3,5,4,0,0
เมืองเชลียง,157,157,0,580,779,1359,39,62,19,11,32,0,0
ศรีสำโรงชนูปถัมภ์,182,182,0,655,736,1391,54,71,21,17,33,0,0
สวรรค์อนันต์วิทยา,250,250,0,923,1447,2370,69,117,26,38,53,0,0
หนองปลาหมอวิทยาคม,33,13,20,65,70,135,7,7,3,3,1,0,0
บ้านไร่พิทยาคม,73,73,0,238,237,475,20,29,5,6,18,0,0
วังทองวิทยา,29,29,0,57,40,97,6,11,2,3,6,0,0
หนองกลับวิทยาคม,27,27,3,55,50,105,6,10,2,3,5,0,0
บ้านแก่งวิทยา,80,80,0,116,112,228,12,17,1,6,10,0,0
เมืองด้งวิทยา,46,40,0,179,202,381,12,14,2,8,4,0,0
ขุนไกรพิทยาคม,30,30,0,89,87,176,12,11,7,2,2,0,0
สวรรค์อนันต์วิทยา2,20,19,0,39,32,71,6,9,3,2,4,0,0
ท่าชัยวิทยา,68,51,17,154,126,280,12,8,0,5,3,0,0
ศรีนคร,98,91,7,362,374,736,25,36,8,11,17,0,0
ทุ่งเสลี่ยมชนูปถัมภ์,211,187,24,739,807,1546,44,66,12,19,35,0,0
ชัยมงคลพิทยา,37,15,22,135,113,248,12,16,5,8,3,0,0
อุตรดิตถ์,387,362,0,1875,735,2610,70,118,16,23,79,0,0
เตรียมอุดมศึกษาน้อมเกล้าอุตรดิตถ์,188,165,15,412,488,900,32,44,5,15,24,0,0
ตรอนตรีสินธุ์,172,172,25,358,343,701,20,30,6,6,18,0,0
อุตรดิตถ์ดรุณี,319,291,28,142,2871,3013,78,141,19,38,83,1,0
บ้านโคนพิทยา,63,61,2,101,95,196,11,7,0,2,5,0,0
ดาราพิทยาคม,28,29,0,70,70,140,9,7,5,1,1,0,0
ทุ่งกะโล่วิทยา,60,55,5,104,93,197,12,12,2,4,6,0,0
แสนตอวิทยา,35,25,10,74,64,138,7,11,3,3,5,0,0
น้ำริดวิทยา,30,18,12,168,149,317,12,22,0,4,18,0,0
พิชัย,283,254,29,943,1142,2085,54,91,21,26,44,0,0
ลับแลศรีวิทยา,74,74,0,72,59,131,12,18,0,8,10,0,0
